iter	Passed	Remaining
0	1	1227
1	1	844
2	2	747
3	2	702
4	3	641
5	3	602
6	4	593
7	4	570
8	5	565
9	5	558
10	6	548
11	6	537
12	7	545
13	7	533
14	7	521
15	8	520
16	8	518
17	9	510
18	9	505
19	10	501
20	10	498
21	11	500
22	11	501
23	12	499
24	12	496
25	13	495
26	13	496
27	14	489
28	14	489
29	15	491
30	15	486
31	16	484
32	16	479
33	16	474
34	17	474
35	17	472
36	17	468
37	18	466
38	18	465
39	19	464
40	19	462
41	20	461
42	20	459
43	21	457
44	21	454
45	21	452
46	22	449
47	22	451
48	23	453
49	23	453
50	24	451
51	24	451
52	25	450
53	25	448
54	26	447
55	26	446
56	26	444
57	27	445
58	27	444
59	28	442
60	28	441
61	29	443
62	29	443
63	30	443
64	30	444
65	31	444
66	31	444
67	32	442
68	32	440
69	33	440
70	33	441
71	34	442
72	34	444
73	35	442
74	35	440
75	36	441
76	36	442
77	37	442
78	38	443
79	38	442
80	38	441
81	39	440
82	39	441
83	40	442
84	41	443
85	41	444
86	42	444
87	42	445
88	43	445
89	43	444
90	44	444
91	44	444
92	45	442
93	45	441
94	46	441
95	47	442
96	47	441
97	47	441
98	48	440
99	48	439
100	49	439
101	49	438
102	50	438
103	50	437
104	51	436
105	51	436
106	52	436
107	52	436
108	53	435
109	53	435
110	54	435
111	54	434
112	55	434
113	55	434
114	56	434
115	56	434
116	57	433
117	57	432
118	58	433
119	58	432
120	59	431
121	59	430
122	60	430
123	60	429
124	61	430
125	62	430
126	62	428
127	62	428
128	63	428
129	63	428
130	64	428
131	65	428
132	65	428
133	66	428
134	66	428
135	67	427
136	67	427
137	68	427
138	69	427
139	69	427
140	70	427
141	70	428
142	71	427
143	71	427
144	72	427
145	73	427
146	73	427
147	74	426
148	74	425
149	74	424
150	75	423
151	75	423
152	76	423
153	76	422
154	77	422
155	78	422
156	78	421
157	79	421
158	79	421
159	80	420
160	80	420
161	81	420
162	81	420
163	82	419
164	82	419
165	83	418
166	83	418
167	84	417
168	84	416
169	85	416
